Name,Status,Question Code,Description of Question,STACK Lead,Peer Reviewer,Second Reviewer,Link to Concept,Link to STACK,Link to Card
"
Picture proof",Ready for Peer Review,#000129-000,"This question introduces the concept of love/hate triangles among six people,represented by a graph where each person is a circle and the lines between them indicate mutual liking (white) or mutual disliking (black). The question asks you to describe the graph and fill in the missing statements in the proof of a theorem stating that among any six people,there will always be three who either pairwise like or pairwise dislike each other.",,,,,https://ecampus.idems.international/question/bank/history/history.php?entryid=87159&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D243%26cat%3D11498%252C82029&courseid=243,
2D Demo:Estimate the area of the shape inside of the rectangle.,Ready for Peer Review,___hash_sign___000148-000,"Given a graph of a rectangle,estimate the area of the shape inside of the rectangle.",,,,,https://ecampus.idems.international/question/bank/history/history.php?courseid=243&entryid=86845&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D243%26cat%3D11498%252C82029&category=11498%2C82029&lastchanged=86469,
2D Demo:Estimate the area of the shape inside of the rectangle.,Ready for Peer Review,___hash_sign___000149-000,"Given a diagram,the rectangle is split into 4 parts. Give a better estimation for the area of the shape. ",,,,,https://ecampus.idems.international/question/bank/history/history.php?entryid=86844&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D243%26cat%3D11498%252C82029&courseid=243,
2D Demo:Estimate the area of the shape inside of the rectangle.,Ready for Peer Review,___hash_sign___000150-000,"Given a diagram,the rectangle is now split into 16 equal parts and we can see that 8 out of the 16 parts contain the shape. Give a better estimation for the area of the shape",,,,,https://ecampus.idems.international/question/bank/history/history.php?entryid=86843&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D243%26cat%3D11498%252C82029&courseid=243,
2D Demo:Estimate the area of the shape inside of the rectangle.,Ready for Peer Review,___hash_sign___000151-000,"Given a diagram,the rectangle is split into 64 equal parts and we can see that 22 out of the 64 parts contain the shape. Give a better estimation for the area of the shape",,,,,https://ecampus.idems.international/question/bank/history/history.php?courseid=243&entryid=86842&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D243%26cat%3D11498%252C82029&category=11498%2C82029&lastchanged=86484,
2D Demo:Estimate the area of the shape inside of the rectangle.,Ready for Peer Review,___hash_sign___000152-000,"Given a diagram,the rectangle is split into 256 equal parts as shown in the diagram and we can see that 72 out of the 256 parts contain the shape. Give a better estimation for the area of the shape",,,,,https://ecampus.idems.international/question/bank/history/history.php?courseid=243&entryid=86841&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D243&category=11498%2C82029&lastchanged=86488,
2D Demo:Find the area of the rectangle using a graph,Ready for Peer Review,___hash_sign___000147-000,"Given a graph,find the area of the rectangle shown below",,,,,https://ecampus.idems.international/question/bank/history/history.php?entryid=86851&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D243%26cat%3D11498%252C82029&courseid=243,
Additive property,Ready for Peer Review,___hash_sign___000156-000,"Given the statement and its proof. Fill in the blanks and attempt the questions.
Statement:Let (X,M,μ) be a  measure space and f,g be  non-negative measurable function on X. Then ∫X(f+g)dμ=∫Xfdμ+∫Xgdμ",,,,,https://ecampus.idems.international/question/bank/history/history.php?entryid=87148&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D243&courseid=243,
Additivity of outer Measures,Ready for Peer Review,___hash_sign___000175-000,"Let X be a set,μ∗  an outer measure on X. If E1,E2⊆X  are μ∗-measurable and E1∩E2=∅. Proofs are given and the task is to determine if the proof is correct or identify the first step that contains a flawed argument.",,,,,https://ecampus.idems.international/question/edit.php?courseid=243&cat=11746%2C82029&category=11769%2C82029,
Axiomatic proof,Ready for Peer Review,___hash_sign___000122-000,"This question involves completing the proof of an axiom that states that for any set A,the set A is also a set. By filling in the blanks in the proof and providing explanations for each step,the question explores the concept of sets and demonstrates the formation of sets using the given axiom.",,,,,https://ecampus.idems.international/question/bank/history/history.php?entryid=86916&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D243%26cat%3D11498%252C82029&courseid=243,
Axiomatic proof,Ready for Peer Review,___hash_sign___000123-000,"This question is about proving the theorem that the probability of an impossible event,represented by the empty set \(\emptyset\),is 0 using the given axioms of probability. ",,,,,https://ecampus.idems.international/question/bank/history/history.php?entryid=86915&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D243%26cat%3D11498%252C82029&courseid=243,
Axiomatic proof,Ready for Peer Review,___hash_sign___000124-000,"This question involves proving a proposition related to the axioms of multiplication in the set of real numbers. The proposition states that if the product of two numbers is equal for two different values of another number,then either one of the numbers is zero or the two different values are equal.",,,,,https://ecampus.idems.international/question/bank/history/history.php?entryid=86914&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D243%26cat%3D11498%252C82029&courseid=243,
Bijective proof,Ready for Peer Review,___hash_sign___000131-000,"This question explores the concept of bijection between the sets of natural numbers (\(\mathbb{N}\)) and integers (\(\mathbb{Z}\)). The first part asks whether a bijective function exists between the two sets,and the second part requires the proof that a specific function is a bijection. Students are prompted to fill in the blanks with appropriate answers to demonstrate their understanding of bijection and its application in mapping sets.",,,,,https://ecampus.idems.international/question/bank/history/history.php?entryid=87169&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D243%26cat%3D11498%252C82029&courseid=243,
Bijective proof,Ready for Peer Review,___hash_sign___000132-000,"This question involves demonstrating a bijection between the sets of integers (\(\mathbb{Z}\)) and natural numbers (\(\mathbb{N}\)) to prove that they have the same cardinality. Students are asked to find the specific bijective function,answer comprehension questions about the proof technique used,and identify the cases observed in both injectivity and surjectivity proofs.",,,,,https://ecampus.idems.international/question/bank/history/history.php?entryid=87168&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D243%26cat%3D11498%252C82029&courseid=243,
Bijective proof,Ready for Peer Review,___hash_sign___000133-000,"This question involves proving that the set of all integers,denoted as \(\mathbb{Z}\),is countable by demonstrating a bijection between the set of positive integers,\(\mathbb{Z}^{+}\),and \(\mathbb{Z}\). The student is required to fill in the blanks in the proof and determine the explicit function that establishes the bijection.",,,,,https://ecampus.idems.international/question/bank/history/history.php?entryid=87167&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D243%26cat%3D11498%252C82029&courseid=243,
Bijective proof,Ready for Peer Review,___hash_sign___000136-000,"Question Description:
This question explores the concept of infinite cardinalities and requires you to exhibit a bijective function that maps the set of integers \(\mathbb{Z}\) to the set of natural numbers \(\mathbb{N}\). You will also answer comprehension questions related to the proof technique used,the cases observed in the proof for injectivity,and the cases observed in the proof for surjectivity.",,,,,https://ecampus.idems.international/question/bank/history/history.php?entryid=87172&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D243%26cat%3D11498%252C82029&courseid=243,
